site,rank,title,link
Al Jazeera,1,EU fails to agree on sanctions for far-right Israeli minister Ben-Gvir,https://www.aljazeera.com/news/2026/6/15/eu-fails-to-agree-on-sanctions-for-far-right-israeli-minister-ben-gvir?traffic_source=rss
Al Jazeera,2,"France vs Senegal: World Cup 2026 – Mbappe, teams, lineups, start, Dembele",https://www.aljazeera.com/sports/2026/6/15/france-vs-senegal-world-cup-2026-mbappe-teams-lineups-start-dembele?traffic_source=rss
Al Jazeera,3,Tunisia sack boss Sabri Lamouchi after World Cup thrashing by Sweden,https://www.aljazeera.com/sports/2026/6/15/tunisia-sack-boss-sabri-lamouchi-after-world-cup-thrashing-by-sweden?traffic_source=rss
Al Jazeera,4,Zelenskyy visits historic Kyiv cathedral after deadly Russian strike,https://www.aljazeera.com/video/newsfeed/2026/6/15/zelenskyy-visits-historic-kyiv-cathedral-after-deadly-russian-strike?traffic_source=rss
Al Jazeera,5,Spain held to shock draw by Cape Verde in their World Cup opener,https://www.aljazeera.com/sports/2026/6/15/spain-held-to-shock-draw-by-cape-verde-in-their-world-cup-opener?traffic_source=rss
Al Jazeera,6,"As deal is agreed with US, not all in Iran are convinced that peace is here",https://www.aljazeera.com/economy/2026/6/15/as-deal-is-agreed-with-us-not-all-in-iran-are-convinced-that-peace-is-here?traffic_source=rss
Al Jazeera,7,"Police, mourners clash over coffin of suspected Ebola victim in DRC",https://www.aljazeera.com/video/newsfeed/2026/6/15/police-mourners-clash-over-coffin-of-suspected-ebola-victim-in-drc?traffic_source=rss
Al Jazeera,8,US visa rules leave Iraq’s World Cup fans behind,https://www.aljazeera.com/video/newsfeed/2026/6/15/aje-onl-nf_us-visa-rules-leave-iraqs-world-cup-fans-behind-150626?traffic_source=rss
Al Jazeera,9,Singer Oliver Tree among six killed in Brazil helicopter collision,https://www.aljazeera.com/video/newsfeed/2026/6/15/singer-oliver-tree-among-six-killed-in-brazil-helicopter-collision?traffic_source=rss
Al Jazeera,10,Bus crash in Ethiopian mountains kills at least 31,https://www.aljazeera.com/news/2026/6/15/bus-crash-in-ethiopian-mountains-kills-at-least-31?traffic_source=rss
Al Jazeera,11,Mass return to southern Lebanon following US-Iran agreement,https://www.aljazeera.com/video/newsfeed/2026/6/15/mass-return-to-southern-lebanon-following-us-iran-agreement?traffic_source=rss
Al Jazeera,12,"Iran vs New Zealand: World Cup team news, start, lineups and where to watch",https://www.aljazeera.com/sports/2026/6/15/iran-vs-new-zealand-world-cup-team-news-start-lineups-and-where-to-watch?traffic_source=rss
Al Jazeera,13,Trump says Iran deal ‘all signed’,https://www.aljazeera.com/video/newsfeed/2026/6/15/trump-says-iran-deal-all?traffic_source=rss
Al Jazeera,14,UK court convicts two over PM-targeting plot run by mysterious Russian,https://www.aljazeera.com/news/2026/6/15/uk-court-convicts-two-over-pm-targeting-plot-run-by-mysterious-russian?traffic_source=rss
Al Jazeera,15,"Drone warfare kills over 1,000 in Sudan in 2026 as strikes multiply: UN",https://www.aljazeera.com/news/2026/6/15/drone-warfare-kills-over-1000-in-sudan-in-2026-as-strikes-multiply-un?traffic_source=rss
Al Jazeera,16,Lebanon Latest: Cautious optimism after ceasefire deal,https://www.aljazeera.com/video/newsfeed/2026/6/15/aje-onl-aje_onl_lebanon_wrap-150626?traffic_source=rss
Al Jazeera,17,Inside Albania’s protests over Jared Kushner’s resort,https://www.aljazeera.com/video/the-take-2/2026/6/15/inside-albanias-protests-over-jared-kushners-resort?traffic_source=rss
Al Jazeera,18,Does the G7 still shape the global economy?,https://www.aljazeera.com/video/counting-the-cost/2026/6/15/does-the-g7-still-shape-the-global-economy?traffic_source=rss
Al Jazeera,19,UK Court upholds ban on Palestine Action as ‘terrorist’ group,https://www.aljazeera.com/video/newsfeed/2026/6/15/uk-court-upholds-ban-on-palestine-action-as-terrorist-group?traffic_source=rss
Al Jazeera,20,Belgium v Egypt live: World Cup 2026,https://www.aljazeera.com/sports/liveblog/2026/6/15/belgium-v-egypt-live-world-cup-2026?traffic_source=rss
Associated Press,1,Iran and US reach an initial deal to end the war and open the Strait of Hormuz but challenges remain,https://apnews.com/article/iran-us-war-oil-june-15-2026-77406473da38c6c126818610a219dc20
Associated Press,2,"Helicopter with singer Oliver Tree on passenger list collides with another in Brazil, killing 6",https://apnews.com/article/brazil-rio-helicopter-collision-dc3e059c8dcc4fbd84f714dd3c5ab2c8
Associated Press,3,Trump arrives at G7 summit looking for momentum after announcing a deal to end the Iran war,https://apnews.com/article/trump-g7-france-iran-ukraine-992fb57188610d04660fb342c53e639e
Associated Press,4,"12 dead as a plane on a skydiving outing crashes in Missouri, authorities say",https://apnews.com/article/butler-missouri-plane-crash-dead-0f074de40ce690e76c19ffbe183d1875
Associated Press,5,"Utah canyon BASE jump kills 2, including extreme athlete who performed with Madonna",https://apnews.com/article/andy-lewis-killed-base-jump-utah-653a4478471b3fe1732cc0aa07a33312
Associated Press,6,Puerto Rican Day Parade marches through Manhattan with pulsing music and vibrant colors,https://apnews.com/article/puerto-rican-day-parade-new-york-city-c1d08f5ee69c3a7b08671eb544baeafb
Associated Press,7,"Former Senate leader Mitch McConnell is in the hospital, but little information is known",https://apnews.com/article/mitch-mcconnell-hospital-health-senate-kentucky-bf3d75527d77002c430f4270afbfc0af
Associated Press,8,"Disabled oil tanker received dozens of warnings before US opened fire, AP source says",https://apnews.com/article/iran-war-blockade-disabled-tanker-indian-sailors-0b193ba0d4fab935db871390227b7d20
Associated Press,9,World Cup racism monitor urges FIFA to remove match official over hand gesture on TV broadcast,https://apnews.com/article/world-cup-match-official-hand-gesture-16a98fb0164746cd7796e70f849d31ff
Associated Press,10,Don't expect a repeat. UFC boss Dana White says 'never again' to another White House fight night,https://apnews.com/article/ufc-white-house-trump-1a88cc3a171ce7a2697880bb3ca1e91c
Associated Press,11,Japan fans uphold World Cup tradition by using blue bags to clean up trash after Netherlands draw,https://apnews.com/article/japan-world-cup-fans-cleaning-fd7289c5351f6a59e679fbd8a5327e0f
Associated Press,12,"Tyra Banks sues Netflix over 'America's Next Top Model' documentary, alleging defamation",https://apnews.com/article/tyra-banks-sues-netflix-antm-docuseries-7efd641bce6c40313ad25b4034cd5b1f
Associated Press,13,"Steven Spielberg's 'Disclosure Day' opens No. 1, while 'Obsession' sensation continues",https://apnews.com/article/disclosure-day-spielberg-box-office-2afc250609da00480bdaaab5fca1e573
Associated Press,14,Japan's DJ Rinoka bobs to the beat as a child prodigy techno artist,https://apnews.com/article/young-techno-dj-rinoka-japan-music-05bd3a87d3eb451ca2ad91691611127e
Associated Press,15,Fox to buy streaming pioneer Roku in a $22 billion deal,https://apnews.com/article/fox-roku-tubi-streaming-824089dbe16631fade634becdb164c94
Associated Press,16,"Stocks leap worldwide, and oil prices drop after the US and Iran reach a tentative deal on their war",https://apnews.com/article/stocks-markets-iran-trump-oil-musk-f2ee51f1b0686688b3e50068b4b71d70
Associated Press,17,"Oil and gas supplies could take months to return to normal after Iran deal, energy experts say",https://apnews.com/article/iran-war-trump-deal-oil-supply-strait-of-hormuz-42bdd71d5afa6fb5ac5d0c3e7857de6c
Associated Press,18,Viral phenomenon in Argentina has young people identifying themselves as animals,https://apnews.com/article/argentina-teenagers-identifying-as-animals-therians-tiktok-54d158c4842f6515e31d83a260cdf31f
Associated Press,19,Lettuce introduce you to the live frog found in this grocery store salad bag,https://apnews.com/article/australia-frog-lettuce-salad-esperance-4134acf75e814dedd7789c1423c26ab1
Associated Press,20,Raccoon goes on drunken rampage in Virginia liquor store and passes out on bathroom floor,https://apnews.com/article/drunk-raccoon-liquor-store-bandit-virginia-5109feb2ea9ab9bf8954ec3798689fd0
