site,rank,title,link
Al Jazeera,1,At least 17 killed after gunmen storm small-town bar in Ecuador,https://www.aljazeera.com/news/2025/7/28/at-least-17-killed-after-gunmen-storm-small-town-bar-in-ecuador?traffic_source=rss
Al Jazeera,2,"UN report reveals global hunger falls, but food insecurity rises in Africa",https://www.aljazeera.com/news/2025/7/28/un-report-revels-global-hunger-falls-but-food-insecurity-rises-in-africa?traffic_source=rss
Al Jazeera,3,How does Israel get away with bombing its neighbours?,https://www.aljazeera.com/video/newsfeed/2025/7/28/how-does-israel-get-away-with-bombing-its-neighbours?traffic_source=rss
Al Jazeera,4,US judge blocks Trump’s effort to defund reproductive health organisation,https://www.aljazeera.com/news/2025/7/28/us-judge-blocks-trumps-effort-to-defund-reproductive-health-organisation?traffic_source=rss
Al Jazeera,5,Israeli rights groups call the war on Gaza genocide for first time,https://www.aljazeera.com/video/newsfeed/2025/7/28/israeli-rights-groups-call-the-war-on-gaza-genocide-for-first-time?traffic_source=rss
Al Jazeera,6,Israeli human rights group: Israel is committing genocide in Gaza,https://www.aljazeera.com/news/2025/7/28/israeli-human-rights-group-israel-is-committing-genocide-in-gaza?traffic_source=rss
Al Jazeera,7,Kenya’s protests are not a symptom of failed democracy. They are democracy,https://www.aljazeera.com/opinions/2025/7/28/kenyas-protests-are-not-a-symptom-of-failed-democracy-they-are-democracy?traffic_source=rss
Al Jazeera,8,Baby dies from malnutrition as Trump warns of ‘real starvation’ in Gaza,https://www.aljazeera.com/news/2025/7/28/palestinian-baby-among-14-who-died-from-hunger-in-gaza-in-last-24-hours?traffic_source=rss
Al Jazeera,9,"Trump: ‘Some of those kids, that’s real starvation’",https://www.aljazeera.com/video/newsfeed/2025/7/28/trump-some-of-those-kids-thats-real?traffic_source=rss
Al Jazeera,10,Trump gives Russia 10 or 12 days to end war on Ukraine,https://www.aljazeera.com/news/2025/7/28/trump-gives-russia-10-or-12-days-to-end-war-on-ukraine?traffic_source=rss
Al Jazeera,11,Thailand and Cambodia agree to ceasefire: Will it stop the deadly fighting?,https://www.aljazeera.com/news/2025/7/28/thailand-and-cambodia-agree-to-ceasefire-will-it-stop-the-deadly-fighting?traffic_source=rss
Al Jazeera,12,‘Wipe it out faster’: Trump again threatens Iran over nuclear enrichment,https://www.aljazeera.com/news/2025/7/28/wipe-it-out-faster-trump-again-threatens-iran-over-nuclear-enrichment?traffic_source=rss
Al Jazeera,13,The Nile cannot be governed by colonial-era treaties,https://www.aljazeera.com/opinions/2025/7/28/the-nile-cannot-be-governed-by-colonial-era-treaties?traffic_source=rss
Al Jazeera,14,Israel continues to kill Palestinians as aid trickles into Gaza,https://www.aljazeera.com/video/newsfeed/2025/7/28/israel-continues-to-kill-palestinians-as-aid-trickles-into-gaza?traffic_source=rss
Al Jazeera,15,‘Stock your cars full of food and drive through that border’,https://www.aljazeera.com/video/quotable/2025/7/28/stock-your-cars-full-of-food-and-drive-through-that?traffic_source=rss
Al Jazeera,16,Three suspected rebels killed in firefight in India-administered Kashmir,https://www.aljazeera.com/news/2025/7/28/three-suspected-rebels-killed-in-firefight-in-indian-administered?traffic_source=rss
Al Jazeera,17,How European leaders are reacting to EU-US trade deal,https://www.aljazeera.com/news/2025/7/28/how-european-leaders-are-reacting-to-eu-us-trade-deal?traffic_source=rss
Al Jazeera,18,EU and US announce trade deal: What you need to know,https://www.aljazeera.com/economy/2025/7/28/eu-and-us-announce-deal-a-breakdown-of-the-trade-agreement?traffic_source=rss
Al Jazeera,19,When justice fails: Genocide and colonialism in Palestine,https://www.aljazeera.com/video/centre-stage/2025/7/28/when-justice-fails-genocide-and-colonialism-in-palestine?traffic_source=rss
Al Jazeera,20,Five people killed in shooting at market in Thailand’s Bangkok,https://www.aljazeera.com/news/2025/7/28/five-people-killed-in-shooting-at-market-in-thailands-bangkok?traffic_source=rss
