site,rank,title,link
Al Jazeera,1,"Nine months after 12-day war, US, Israel seek to topple Iran’s leaders",https://www.aljazeera.com/editorial/2026/2/28/nine-months-after-12-day-war-us-israel-seek-to-topple-irans-leaders?traffic_source=rss
Al Jazeera,2,Pakistan edge last-ball thriller against Sri Lanka but exit T20 World Cup,https://www.aljazeera.com/sports/2026/2/28/pakistan-edge-last-ball-thriller-against-sri-lanka-but-exit-t20-world-cup?traffic_source=rss
Al Jazeera,3,Lamine Yamal hits hat-trick as Barcelona beat Villarreal 4-1 in La Liga,https://www.aljazeera.com/sports/2026/2/28/lamine-yamal-hits-hat-trick-as-barcelona-beat-villarreal-4-1-in-la-liga?traffic_source=rss
Al Jazeera,4,"Scattered fires, damage seen across Israel as Iran retaliates",https://www.aljazeera.com/video/newsfeed/2026/2/28/scattered-fires-damage-seen-across-israel-as-iran-retaliates?traffic_source=rss
Al Jazeera,5,Mapping US and Israeli attacks on Iran and Tehran’s retaliatory strikes,https://www.aljazeera.com/news/2026/2/28/mapping-us-and-israeli-attacks-on-iran-and-tehrans-retaliatory-strikes?traffic_source=rss
Al Jazeera,6,"Backpacks, schoolbooks seen amid rubble of Iranian girls’ school",https://www.aljazeera.com/video/newsfeed/2026/2/28/backpacks-schoolbooks-seen-amid-rubble-of-iranian-girls-school?traffic_source=rss
Al Jazeera,7,The fantasy of an easy victory in the war on Iran,https://www.aljazeera.com/opinions/2026/2/28/the-fantasy-of-an-easy-victory-in-the-war-on-iran?traffic_source=rss
Al Jazeera,8,Scenes of destruction in Iran after US-Israeli strikes,https://www.aljazeera.com/video/newsfeed/2026/2/28/scenes-of-destruction-in-iran-after-us-israeli-strikes?traffic_source=rss
Al Jazeera,9,Inside Israel’s ‘normal’: Triumphalism and calm mix after attack on Iran,https://www.aljazeera.com/news/2026/2/28/inside-israels-normal-triumphalism-and-calm-mix-after-attack-on-iran?traffic_source=rss
Al Jazeera,10,Over 50 killed in strike on girls’ elementary school in Iran,https://www.aljazeera.com/video/newsfeed/2026/2/28/over-50-killed-in-strike-on-girls-elementary-school-in-iran?traffic_source=rss
Al Jazeera,11,"World reacts to US, Israel attack on Iran, Tehran retaliation",https://www.aljazeera.com/news/2026/2/28/world-reacts-to-us-israel-attack-on-iran-tehran-retaliation?traffic_source=rss
Al Jazeera,12,"Arsenal vs Chelsea: Premier League – preview, team news, start, lineups",https://www.aljazeera.com/sports/2026/2/28/arsenal-vs-chelsea-premier-league-preview-team-news-start-lineups?traffic_source=rss
Al Jazeera,13,Iranian deputy minister of foreign Affairs condemns US-Israeli attacks,https://www.aljazeera.com/video/newsfeed/2026/2/28/iranian-deputy-minister-of-foreign-affairs-condemns-us-israeli-attacks?traffic_source=rss
Al Jazeera,14,Debris from intercepted Iranian missile lands in Hebron,https://www.aljazeera.com/video/newsfeed/2026/2/28/debris-from-intercepted-iranian-missile-lands-in-hebron?traffic_source=rss
Al Jazeera,15,"Israel strikes two schools in Iran, killing more than 80 people",https://www.aljazeera.com/news/2026/2/28/israel-strikes-two-schools-in-iran-killing-more-than-50-people?traffic_source=rss
Al Jazeera,16,"India vs West Indies: T20 World Cup Super Eights – teams, start, lineups",https://www.aljazeera.com/sports/2026/2/28/india-vs-west-indies-t20-world-cup-super-eights-teams-start-lineups?traffic_source=rss
Al Jazeera,17,Barcelona vs Villarreal 4-1: La Liga – as it happened,https://www.aljazeera.com/sports/liveblog/2026/2/28/live-barcelona-vs-villarreal-la-liga?traffic_source=rss
Al Jazeera,18,Israeli defence system intercepts Iranian missiles over Haifa,https://www.aljazeera.com/video/newsfeed/2026/2/28/israeli-defence-system-intercepts-iranian-missiles-over-haifa?traffic_source=rss
Al Jazeera,19,Al Jazeera reporter on the streets of Tehran as missiles hit the city,https://www.aljazeera.com/video/newsfeed/2026/2/28/al-jazeera-reporter-on-the-streets-of-tehran-as-missiles-hit-the-city?traffic_source=rss
Al Jazeera,20,"Airspace closed, airlines halt flights as US, Israel attack, Iran responds",https://www.aljazeera.com/news/2026/2/28/airspace-closed-airlines-halt-flights-as-us-israel-attack-iran-responds?traffic_source=rss
Associated Press,1,US and Israel launch a major attack on Iran. Trump urges Iranians to 'take over',https://apnews.com/article/iran-us-explosion-tehran-c2f11247d8a66e36929266f2c557a54c
Associated Press,2,North Korea’s Kim gifts rifles to officials and his daughter takes aim after party congress,https://apnews.com/article/north-korea-kim-rifles-gifts-party-congress-e93007dd99c2d40136c2e6f2497eaab2
Associated Press,3,Attorney general announces indictment against 30 more people who protested at a Minnesota church,https://apnews.com/article/immigration-church-minnesota-837d2ebc7a121340a7eaf73600cba019
Associated Press,4,DHS says deported Babson student skipped flight. Her lawyers say agents wanted to detain her,https://apnews.com/article/thanksgiving-babson-boston-deportation-student-4494123202a89ed8f169eb492892d8c2
Associated Press,5,"Despite recent gains, tribal citizens descended from slaves face disparate treatment",https://apnews.com/article/freedmen-slavery-cherokee-muscogee-seminole-choctaw-chickasaw-adc518e2cf7a1cd544527a50bcf1f61f
Associated Press,6,Treasury Department terminates union contracts for IRS and Bureau of the Fiscal Service workers,https://apnews.com/article/treasury-irs-fiscal-service-union-contracts-dcd42250d58c8e4d46a2c0256064a857
Associated Press,7,Pentagon and Scouting America reach deal to keep ties after Hegseth's anti-DEI push,https://apnews.com/article/scouting-america-pentagon-military-boy-scouts-14a5fc1521fcd1e51103638f6f504214
Associated Press,8,Read President Trump’s statement on Iran in full,https://apnews.com/article/iran-us-trump-address-f662a4f3378535d81197be699fb35a3e
Associated Press,9,"PWHL teams place Hilary Knight, Kendall Coyne Schofield and Erin Ambrose on long-term IR",https://apnews.com/article/knight-coyne-schofield-ambrose-olympics-injuries-ffaeb38e048ce0a17f48bccbcc4ced9a
Associated Press,10,A golden sweep by Team USA in Olympic hockey led to celebrations that got complicated and political,https://apnews.com/article/usa-hockey-olympics-trump-b13efe20883b42196eacc0f069a2c6ff
Associated Press,11,Max Scherzer's 8-year-old daughter sent handwritten note to Blue Jays hoping for Toronto return,https://apnews.com/article/scherzer-max-brooke-daughters-letter-e4abc7d36711acfb88b49baba722d2f0
Associated Press,12,"Neil Sedaka, the singer-songwriter behind dozens of hits of the 1960s and '70s, dies at age 86",https://apnews.com/article/neil-sedaka-dead-c1002e2c903a458380d2078a47ab75b5
Associated Press,13,Eddie Vedder turns solo vulnerability into a powerful plea in Netflix’s 'Matter of Time',https://apnews.com/article/eddie-vedder-matter-time-eb-7dab779e6f882073013c508c9f83edb9
Associated Press,14,The end of Hollywood or a brighter future? What a Paramount-owned Warner Bros. means for the movies,https://apnews.com/article/warner-bros-paramount-deal-explained-7c05a7455e3cef11875dd53784dbf9d2
Associated Press,15,Attack on Iran disrupts flights across the Middle East and beyond,https://apnews.com/article/iran-israel-us-flights-airspace-travel-0346e29ee99eaee2838c8e08f4facb78
Associated Press,16,"US wholesale prices arrive hotter than expected, up 0.5% from December and 2.9% from a year ago",https://apnews.com/article/economy-inflation-producer-prices-trump-federal-reserve-d728162ff72f31776bbc320354586f72
Associated Press,17,2 Panama Canal ports have dragged Panama into a tussle between superpowers,https://apnews.com/article/panama-canal-china-us-ports-2c858331b744b3faa3202789d26c5bcf
Associated Press,18,A total lunar eclipse will turn the moon blood red on Tuesday across several continents,https://apnews.com/article/total-lunar-eclipse-blood-moon-2dd5f67f5f7a6fa0f9b248ad6cade9cf
Associated Press,19,NASA revamps Artemis moon landing program by modeling it after speedy Apollo,https://apnews.com/article/nasa-moon-artemis-astronauts-83132fc4f86c3491984844fc309e25d2
Associated Press,20,Viral phenomenon in Argentina has young people identifying themselves as animals,https://apnews.com/article/argentina-teenagers-identifying-as-animals-therians-tiktok-54d158c4842f6515e31d83a260cdf31f
