site,rank,title,link
Al Jazeera,1,Trump calls war on Iran a ‘little diversion’,https://www.aljazeera.com/video/newsfeed/2026/4/17/trump-calls-war-on-iran-a-little?traffic_source=rss
Al Jazeera,2,Australian ex-soldier Roberts-Smith granted bail in Afghan war crimes case,https://www.aljazeera.com/news/2026/4/17/australian-ex-soldier-roberts-smith-granted-bail-in-afghan-war-crimes-case?traffic_source=rss
Al Jazeera,3,France arrests suspect over 1982 attack on Jewish restaurant,https://www.aljazeera.com/news/2026/4/17/france-arrests-suspect-over-1982-attack-on-jewish-restaurant?traffic_source=rss
Al Jazeera,4,Pentagon chief Pete Hegseth reads fake Bible verse from Pulp Fiction,https://www.aljazeera.com/video/newsfeed/2026/4/17/pentagon-chief-pete-hegseth-reads-fake-bible-verse-from-pulp-fiction?traffic_source=rss
Al Jazeera,5,Celebrations in Lebanon as 10-day ceasefire with Israel begins,https://www.aljazeera.com/news/2026/4/17/celebrations-in-lebanon-as-10-day-ceasefire-with-israel-begins?traffic_source=rss
Al Jazeera,6,"IMF, World Bank say they are restoring ties with Venezuela",https://www.aljazeera.com/economy/2026/4/17/imf-world-bank-say-they-are-restoring-ties-with-venezuela?traffic_source=rss
Al Jazeera,7,How Israel’s war upended daily life in Lebanon,https://www.aljazeera.com/video/newsfeed/2026/4/17/how-israels-war-upended-daily-life-in-lebanon?traffic_source=rss
Al Jazeera,8,‘Trump forced Israel into a ceasefire’ with Lebanon,https://www.aljazeera.com/video/newsfeed/2026/4/17/trump-forced-israel-into-a-ceasefire-with-lebanon-2?traffic_source=rss
Al Jazeera,9,Celebrations on the road as people begin returning to southern Lebanon,https://www.aljazeera.com/video/newsfeed/2026/4/17/celebrations-on-the-road-as-people-begin-returning-to-southern-lebanon?traffic_source=rss
Al Jazeera,10,Iran war live: Ceasefire starts in Lebanon as Trump says Tehran deal close,https://www.aljazeera.com/news/liveblog/2026/4/17/iran-war-live-ceasefire-starts-in-lebanon-as-trump-says-tehran-deal-close?traffic_source=rss
Al Jazeera,11,People in Beirut wary of trusting Israel will uphold Lebanon ceasefire,https://www.aljazeera.com/video/newsfeed/2026/4/16/people-in-beirut-wary-of-trusting-israel-will-uphold-lebanon-ceasefire?traffic_source=rss
