site,rank,title,link
Al Jazeera,1,Trump: US-Iran meeting at UN was ‘very good’,https://www.aljazeera.com/video/newsfeed/2026/9/22/trump-us-iran-meeting-at-un-was-very?traffic_source=rss
Al Jazeera,2,NYC Mayor Mamdani reaches record DoorDash settlement for underpaid workers,https://www.aljazeera.com/economy/2026/9/22/nyc-mayor-mamdani-reaches-record-doordash-settlement-for-underpaid-workers?traffic_source=rss
Al Jazeera,3,Brazil’s Lula: Gaza’s ‘pain and trauma’ will last generations,https://www.aljazeera.com/video/newsfeed/2026/9/22/brazils-lula-gazas-pain-and-trauma-will-last-generations?traffic_source=rss
Al Jazeera,4,Djibouti minister appeals for aid for Yemeni refugees,https://www.aljazeera.com/video/newsfeed/2026/9/22/djibouti-minister-appeals-for-aid-for-yemeni-refugees?traffic_source=rss
Al Jazeera,5,Trump admin asks top US court to reverse pro-Palestinian scholar’s release,https://www.aljazeera.com/news/2026/9/22/trump-admin-asks-top-us-court-to-reverse-pro-palestinian-scholars-release?traffic_source=rss
Al Jazeera,6,Qatar denounces Israeli aggression across the region,https://www.aljazeera.com/video/newsfeed/2026/9/22/qatar-denounces-israeli-aggression-across-the-region?traffic_source=rss
Al Jazeera,7,What led to the 1994 Tutsi Genocide in Rwanda,https://www.aljazeera.com/video/newsfeed/2026/9/22/what-led-to-the-1994-tutsi-genocide-in-rwanda?traffic_source=rss
Al Jazeera,8,Erdogan accuses Israel of ‘genocidal mindset’ at UNGA,https://www.aljazeera.com/video/newsfeed/2026/9/22/erdogan-accuses-israel-of-genocidal-mindset-at-unga?traffic_source=rss
Al Jazeera,9,Is Ethiopia heading towards renewed civil war?,https://www.aljazeera.com/video/inside-story/2026/9/22/is-ethiopia-heading-towards-renewed-civil-war?traffic_source=rss
Al Jazeera,10,UN Goodwill Ambassador: Millions of refugee children missing school,https://www.aljazeera.com/video/newsfeed/2026/9/22/un-goodwill-ambassador-millions-of-refugee-children-missing-school?traffic_source=rss
Al Jazeera,11,Qatar’s emir urges diplomacy as Gulf at ‘one of the most dangerous phases’,https://www.aljazeera.com/news/2026/9/22/qatars-emir-urges-diplomacy-as-gulf-at-one-of-the-most-dangerous?traffic_source=rss
Al Jazeera,12,"US signs ‘tremendous’ Arctic security deal with Denmark, Greenland",https://www.aljazeera.com/news/2026/9/22/us-signs-tremendous-arctic-security-deal-with-denmark-greenland?traffic_source=rss
Al Jazeera,13,"Qatar urges diplomacy, rejects Strait of Hormuz ‘bargaining’",https://www.aljazeera.com/video/newsfeed/2026/9/22/qatar-urges-diplomacy-rejects-strait-of-hormuz?traffic_source=rss
Al Jazeera,14,"US, Iran hold ‘very good’ talks, Trump says at UN meeting",https://www.aljazeera.com/news/2026/9/22/trump-says-us-officials-met-with-iranian-delegation-for-three-hours-2?traffic_source=rss
Al Jazeera,15,Indian MMA fighter refuses handshake after Asian Games ‘defeat’,https://www.aljazeera.com/video/newsfeed/2026/9/22/indian-mma-fighter-refuses-handshake-after-asian-games?traffic_source=rss
Al Jazeera,16,Lula warns against foreign interference in Brazil election at UN,https://www.aljazeera.com/news/2026/9/22/lula-warns-against-foreign-interference-defends-brazils-sovereignty-at-un?traffic_source=rss
Al Jazeera,17,Sudan’s historical famine echoes through latest hunger crisis,https://www.aljazeera.com/news/2026/9/22/sudans-historical-famine-echoes-through-latest-hunger-crisis?traffic_source=rss
Al Jazeera,18,ECHR hears how 10 children went missing after Russia annexed Crimea,https://www.aljazeera.com/news/2026/9/22/echr-hears-how-10-children-went-missing-after-russia-annexed-crimea?traffic_source=rss
Al Jazeera,19,Turkiye school shooting leaves 11 pupils wounded,https://www.aljazeera.com/video/newsfeed/2026/9/22/turkiye-school-shooting-leaves-11-pupils-wounded?traffic_source=rss
Al Jazeera,20,Erdogan slams Israel’s ‘genocidal mindset’ in blistering UN address,https://www.aljazeera.com/news/2026/9/22/erdogan-slams-israels-genocidal-mindset-in-blistering-un-address?traffic_source=rss
