site,rank,title,link
Al Jazeera,1,"Israeli strikes kill 21 Palestinians, mostly women and children",https://www.aljazeera.com/video/newsfeed/2025/7/23/israeli-strikes-kill-21-palestinians-mostly-women-and-children?traffic_source=rss
Al Jazeera,2,Settlers killed US citizen Sayf Musallet. Will there be justice?,https://www.aljazeera.com/video/the-take-2/2025/7/23/aje-onl-pal_sayfollah_av_v2-230725?traffic_source=rss
Al Jazeera,3,Trump White House probes Harvard University’s scholar exchange programme,https://www.aljazeera.com/news/2025/7/23/trump-white-house-probes-harvard-universitys-scholar-exchange-programme?traffic_source=rss
Al Jazeera,4,Thailand recalls ambassador to Cambodia amid border tensions,https://www.aljazeera.com/news/2025/7/23/thailand-recalls-ambassador-to-cambodia-amid-border-tensions?traffic_source=rss
Al Jazeera,5,EU steps up air defences for Ukraine and sanctions for Russia,https://www.aljazeera.com/features/2025/7/23/eu-steps-up-air-defences-for-ukraine-and-sanctions-for-russia?traffic_source=rss
Al Jazeera,6,Swedish neo-Nazis are using MMA to recruit new members,https://www.aljazeera.com/video/newsfeed/2025/7/23/swedish-neo-nazis-are-using-mma-to-recruit-new-members?traffic_source=rss
Al Jazeera,7,Why is Columbia University expelling pro-Palestine students?,https://www.aljazeera.com/news/2025/7/23/why-is-columbia-university-expelling-pro-palestine-students?traffic_source=rss
Al Jazeera,8,Trump’s hefty tariff on Brazil expected to push the country towards China,https://www.aljazeera.com/economy/2025/7/23/trumps-hefty-tariff-on-brazil-expected-to-push-the-country-towards-china?traffic_source=rss
Al Jazeera,9,What can we expect as fire season ramps up in California?,https://www.aljazeera.com/news/2025/7/23/what-can-we-expect-as-fire-season-ramps-up-in-california?traffic_source=rss
Al Jazeera,10,Video: Iran’s president says country won’t abandon its nuclear programme,https://www.aljazeera.com/video/newsfeed/2025/7/23/video-irans-president-says-country-wont-abandon-its-nuclear-programme?traffic_source=rss
Al Jazeera,11,These countries condemn the Gaza war but have major ties to Israel,https://www.aljazeera.com/video/newsfeed/2025/7/23/these-countries-condemn-the-gaza-war-but-have-major-ties-to-israel?traffic_source=rss
Al Jazeera,12,"‘Unbearable’: Ukrainians deported by Russia, stranded at Georgia border",https://www.aljazeera.com/features/2025/7/23/unbearable-ukrainians-deported-by-russia-stranded-at-georgia-border?traffic_source=rss
Al Jazeera,13,"Sudan’s competing authorities are beholden to militia leaders, say analysts",https://www.aljazeera.com/features/2025/7/23/sudans-competing-authorities-are-beholden-to-militia-leaders?traffic_source=rss
Al Jazeera,14,Greek island residents stop Israeli cruise ship docking,https://www.aljazeera.com/video/newsfeed/2025/7/23/greek-island-residents-stop-israeli-cruise-ship-docking?traffic_source=rss
Al Jazeera,15,"In landmark opinion, UN court says climate change an ‘existential threat’",https://www.aljazeera.com/news/2025/7/23/world-court-hearing-says-climate-change-is-urgent-and-existential-threat?traffic_source=rss
Al Jazeera,16,Malaysia “calls on world leaders” to restrain Israel,https://www.aljazeera.com/video/quotable/2025/7/23/malaysia-calls-on-world-leaders-to-restrain-israel?traffic_source=rss
Al Jazeera,17,"Yes, The New York Times is committing genocidal journalism",https://www.aljazeera.com/opinions/2025/7/23/yes-the-new-york-times-is-committing-genocidal-journalism?traffic_source=rss
Al Jazeera,18,Aid groups warn of ‘mass starvation’ in Gaza,https://www.aljazeera.com/gallery/2025/7/23/aid-groups-warn-of-mass-starvation-in-gaza?traffic_source=rss
Al Jazeera,19,Palestinians in Gaza react to Israel’s ban on access to the sea,https://www.aljazeera.com/video/newsfeed/2025/7/23/palestinians-in-gaza-react-to-israels-ban-on-access-to-the-sea?traffic_source=rss
Al Jazeera,20,The night Iran struck Qatar,https://www.aljazeera.com/video/birds-eye-view/2025/7/23/the-night-iran-struck-qatar?traffic_source=rss
