site,rank,title,link
Al Jazeera,1,"In Aleppo, art bridges Syria’s war divisions",https://www.aljazeera.com/video/newsfeed/2026/2/12/in-aleppo-art-bridges-syrias-war-divisions?traffic_source=rss
Al Jazeera,2,"Ex-Pakistan PM Imran Khan left with 15% vision in right eye, court told",https://www.aljazeera.com/news/2026/2/12/ex-pakistan-pm-imran-khan-left-with-15-vision-in-right-eye-court-told?traffic_source=rss
Al Jazeera,3,Counting begins as polls close in landmark Bangladesh election,https://www.aljazeera.com/video/newsfeed/2026/2/12/counting-begins-as-polls-close-in-landmark-bangladesh-election?traffic_source=rss
Al Jazeera,4,Top Iran official accuses Israel of trying to sabotage US talks,https://www.aljazeera.com/video/newsfeed/2026/2/12/top-iran-official-accuses-israel-of-trying-to-sabotage-us-talks?traffic_source=rss
Al Jazeera,5,Man Utd co-owner Ratcliffe’s anti-immigrant rhetoric sparks outrage in UK,https://www.aljazeera.com/news/2026/2/12/man-utd-co-owner-ratcliffes-anti-immigrant-rhetoric-sparks-outrage-in-uk?traffic_source=rss
Al Jazeera,6,"Several assassination attempts targeted Syria’s al-Sharaa, ministers: UN",https://www.aljazeera.com/news/2026/2/12/several-assassination-attempts-targeted-syrias-al-sharaa-ministers-un?traffic_source=rss
Al Jazeera,7,UN begins clearing massive wartime waste dump in Gaza City,https://www.aljazeera.com/video/newsfeed/2026/2/12/un-begins-clearing-massive-wartime-waste-dump-in-gaza-city?traffic_source=rss
Al Jazeera,8,Africa must boycott the 2026 World Cup,https://www.aljazeera.com/opinions/2026/2/12/africa-must-boycott-the-2026-world-cup?traffic_source=rss
Al Jazeera,9,At least 21 dead in ferry sinking in northern Sudan’s River Nile State,https://www.aljazeera.com/news/2026/2/12/at-least-21-dead-in-ferry-sinking-in-northern-sudans-river-nile-state?traffic_source=rss
Al Jazeera,10,Can the US challenge China’s dominance in critical minerals?,https://www.aljazeera.com/video/counting-the-cost/2026/2/12/can-the-us-challenge-chinas-dominance-in-critical-minerals?traffic_source=rss
Al Jazeera,11,"Locked Out, Locked In: Witnessing the Gaza War from afar",https://www.aljazeera.com/video/witness/2026/2/12/locked-out-locked-in-witnessing-the-gaza-war-from-afar?traffic_source=rss
Al Jazeera,12,Bangladeshis turn out for historic election after Hasina’s downfall,https://www.aljazeera.com/gallery/2026/2/12/bangladeshis-turn-out-for-historic-election-after-hasinas-downfall?traffic_source=rss
Al Jazeera,13,Bangladesh election live results 2026: By the numbers,https://www.aljazeera.com/news/2026/2/12/live-results-bangladesh-election-2026?traffic_source=rss
