site,rank,title,link
Al Jazeera,1,Israeli forces kill Palestinian man in raid on Nablus in occupied West Ban,https://www.aljazeera.com/video/newsfeed/2026/5/3/israeli-forces-kill-palestinian-man-in-raid-on-nablus-in-occupied-west-ban?traffic_source=rss
Al Jazeera,2,Investigators say Trump assassination suspect shot officer at press gala,https://www.aljazeera.com/news/2026/5/3/investigators-say-trump-assassination-suspect-shot-officer-at-press-gala?traffic_source=rss
Al Jazeera,3,Floods and landslides kill at least 18 in Kenya,https://www.aljazeera.com/news/2026/5/3/floods-and-landslides-kill-at-least-18-in-kenya?traffic_source=rss
Al Jazeera,4,Man United beat Liverpool 3-2 to secure Champions League qualification,https://www.aljazeera.com/sports/2026/5/3/man-united-beat-liverpool-3-2-to-secure-champions-league-qualification?traffic_source=rss
Al Jazeera,5,"Bulk carrier attacked by multiple small craft off Iran, UKMTO says",https://www.aljazeera.com/news/2026/5/3/bulk-carrier-attacked-by-multiple-small-craft-off-iran-ukmto-says?traffic_source=rss
Al Jazeera,6,The US vs Latin America: Varsha Gandikota and Susana Muhamad,https://www.aljazeera.com/video/reframe/2026/5/3/the-us-v-latin-america-varsha-gandikota-susana-muhamad?traffic_source=rss
Al Jazeera,7,Israel threatens Gaza war resumption to force disarmament as ‘truce’ frays,https://www.aljazeera.com/news/2026/5/3/israel-threatens-gaza-war-resumption-to-force-disarmament-as-truce-frays?traffic_source=rss
Al Jazeera,8,Zelenskyy has no cards to play against Russia or the West,https://www.aljazeera.com/opinions/2026/5/3/zelenskyy-has-no-cards-to-play-against-russia-or-the-west?traffic_source=rss
Al Jazeera,9,"On World Press Freedom Day, Pope honours journalists killed in war zones",https://www.aljazeera.com/news/2026/5/3/pope-honors-journalists-killed-in-war-zones-on-world-press-freedom-day?traffic_source=rss
Al Jazeera,10,Who are the two Gaza flotilla activists abducted by Israel?,https://www.aljazeera.com/news/2026/5/3/who-are-the-two-gaza-flotilla-activists-abducted-by-israel?traffic_source=rss
Al Jazeera,11,US to cut troops in Germany as Iran war spat deepens,https://www.aljazeera.com/video/newsfeed/2026/5/3/us-to-cut-troops-in-germany-as-iran-war-spat-deepens?traffic_source=rss
Al Jazeera,12,"USA vs Paraguay among World Cup games with unsold, exorbitant tickets",https://www.aljazeera.com/sports/2026/5/3/usa-vs-paraguay-among-world-cup-games-with-unsold-exorbitant-tickets?traffic_source=rss
Al Jazeera,13,It does not make sense to invest more Arab resources in a US alliance,https://www.aljazeera.com/opinions/2026/5/3/it-does-not-make-sense-to-invest-more-arab-resources-in-a-us-alliance?traffic_source=rss
Al Jazeera,14,Netanyahu boasts of Israel’s billion-dollar military investments,https://www.aljazeera.com/video/newsfeed/2026/5/3/netanyahu-boasts-of-israels-billion-dollar-military-investments?traffic_source=rss
Al Jazeera,15,Was the Iran war the final blow in the collapse of Spirit Airlines?,https://www.aljazeera.com/news/2026/5/3/was-the-iran-war-the-final-blow-in-the-collapse-of-spirit-airlines?traffic_source=rss
Al Jazeera,16,OPEC+ announces symbolic oil output rise during Strait of Hormuz closure,https://www.aljazeera.com/news/2026/5/3/opec-announces-symbolic-oil-output-rise-during-strait-of-hormuz-closure?traffic_source=rss
Al Jazeera,17,Israel approves purchase of fighter jets from the US,https://www.aljazeera.com/news/2026/5/3/israel-approves-purchase-of-fighter-jets-from-the-us?traffic_source=rss
Al Jazeera,18,US military says two service members taking part in Morocco drills missing,https://www.aljazeera.com/news/2026/5/3/us-military-says-two-service-members-taking-part-in-morocco-drills-missing?traffic_source=rss
