site,rank,title,link
Al Jazeera,1,New York to require social media platforms to display mental health labels,https://www.aljazeera.com/news/2025/12/26/new-york-to-require-social-media-platforms-to-display-mental-health-labels?traffic_source=rss
Al Jazeera,2,Marco Rubio congratulates Honduran President-elect Nasry Asfura,https://www.aljazeera.com/news/2025/12/26/marco-rubio-congratulates-honduran-president-elect-nasry-asfura?traffic_source=rss
Al Jazeera,3,Salah seals Egypt qualification with win against South Africa at AFCON 2025,https://www.aljazeera.com/sports/2025/12/26/salah-seals-egypt-qualification-with-win-against-south-africa-at-afcon-2025?traffic_source=rss
Al Jazeera,4,What’s next for the global economy in 2026?,https://www.aljazeera.com/video/counting-the-cost/2025/12/26/whats-next-for-the-global-economy-in-2026?traffic_source=rss
Al Jazeera,5,Zelenskyy to meet Trump in Florida amid diplomatic push to end war,https://www.aljazeera.com/news/2025/12/26/zelenskyy-to-meet-trump-in-florida-amid-diplomatic-push-to-end-war?traffic_source=rss
Al Jazeera,6,"Tajikistan-Taliban border clashes: What’s behind them, why it affects China",https://www.aljazeera.com/news/2025/12/26/tajikistan-taliban-border-clashes-whats-behind-them-why-it-affects-china?traffic_source=rss
Al Jazeera,7,Israel becomes first country to recognise Somaliland,https://www.aljazeera.com/news/2025/12/26/israel-becomes-first-country-to-recognise-somaliland?traffic_source=rss
Al Jazeera,8,"Sabalenka vs Kyrgios: Battle of the Sexes – start time, rules, how to watch",https://www.aljazeera.com/sports/2025/12/26/sabalenka-vs-kyrgios-battle-of-the-sexes-start-time-rules-how-to-watch?traffic_source=rss
Al Jazeera,9,"Stabbing, chemical spray attack injures 15 at Japanese factory",https://www.aljazeera.com/news/2025/12/26/stabbing-chemical-spray-attack-injures-15-at-japanese-factory?traffic_source=rss
Al Jazeera,10,"Two people dead in stabbing, car-ramming attack in Israel",https://www.aljazeera.com/news/2025/12/26/two-people-dead-in-stabbing-car-ramming-attack-in-israel?traffic_source=rss
Al Jazeera,11,US bombs target ISIL in Nigeria: What’s really going on?,https://www.aljazeera.com/news/2025/12/26/us-bombs-target-isil-in-nigeria-whats-really-going-on?traffic_source=rss
Al Jazeera,12,"China sanctions 30 US firms, individuals over Taiwan weapons sales",https://www.aljazeera.com/news/2025/12/26/china-sanctions-30-us-firms-individuals-over-taiwan-weapons-sales?traffic_source=rss
Al Jazeera,13,Iran’s government budget reveals tough road ahead as currency hits new low,https://www.aljazeera.com/news/2025/12/26/irans-government-budget-reveals-tough-road-ahead-as-currency-hits-new-low?traffic_source=rss
Al Jazeera,14,RSF says Sudan’s army launches air strikes on paramilitary stronghold Nyala,https://www.aljazeera.com/news/2025/12/26/rsf-says-sudans-army-launches-air-strikes-on-paramilitary-stronghold-nyala?traffic_source=rss
Al Jazeera,15,Syria’s Christians mark Christmas under heavy security,https://www.aljazeera.com/video/newsfeed/2025/12/26/syrias-christians-mark-christmas-under-heavy-security?traffic_source=rss
Al Jazeera,16,Al Jazeera witnesses fighting at Thai-Cambodia border despite talks,https://www.aljazeera.com/video/newsfeed/2025/12/26/al-jazeera-witnesses-fighting-at-thai-cambodia-border-despite-talks?traffic_source=rss
Al Jazeera,17,Guinea elections: Who’s running and what’s at stake?,https://www.aljazeera.com/news/2025/12/26/guinea-elections-whos-running-and-whats-at-stake?traffic_source=rss
Al Jazeera,18,"Trump could unveil Gaza ‘peace council’, ‘government’ soon: Israeli media",https://www.aljazeera.com/news/2025/12/26/trump-could-unveil-gaza-peace-council-government-soon-israeli-media?traffic_source=rss
Al Jazeera,19,Egypt vs South Africa 1-0: AFCON 2025 – as it happened,https://www.aljazeera.com/sports/liveblog/2025/12/26/live-egypt-vs-south-africa-afcon-2025?traffic_source=rss
Al Jazeera,20,Why is the sale of Pakistan’s national airline stirring a political storm?,https://www.aljazeera.com/news/2025/12/26/why-is-the-sale-of-pakistans-national-airline-stirring-a-political-storm?traffic_source=rss
Associated Press,1,Nigerian villagers are rattled by US airstrikes that made their homes shake and the sky glow red,https://apnews.com/article/nigeria-jabo-village-trump-us-airstrikes-d2795bbc099255d71f2c371c60832157
Associated Press,2,What to know about the militants targeted by US airstrikes in northwest Nigeria,https://apnews.com/article/trump-nigeria-military-strikes-sokoto-lakurawa-1fd77ce78e5d72ca776b788a762866fa
Associated Press,3,A Venezuelan family's Christmas: From the American dream to poverty,https://apnews.com/article/venezuela-migrants-christmas-us-trump-maduro-7a711863ce30f97924e25132a4c11172
Associated Press,4,US launches strikes against Islamic State group in Nigeria after attacks target Christians,https://apnews.com/article/trump-islamic-state-nigeria-43478823f0562cafc527fad1448a0542
Associated Press,5,Hawaii's Big Island bans feeding feral cats in an effort to help endangered native species,https://apnews.com/article/hawaii-feral-cats-feeding-ban-native-species-cd69674cb23e0bdf1071d2aa141b8d70
Associated Press,6,Travis Kelce's emotional night at Arrowhead Stadium may be his last with retirement decision looming,https://apnews.com/article/kansas-city-chiefs-travis-kelce-c1f3237de662ca9f5448b541091ece1b
Associated Press,7,Tyler Kolek chases down Donovan Mitchell for a block and helps the Knicks catch the Cavaliers,https://apnews.com/article/knicks-cavaliers-tyler-kolek-mitchell-block-9ba5f4799d7f488a582cf08059ed504a
Associated Press,8,Lions eliminated after Goff's uncharacteristic giveaways in loss that sends Packers to playoffs,https://apnews.com/article/lions-eliminated-packers-clinch-e829c5c0d250244b3005f3ad34475249
Associated Press,9,‘Heated Rivalry’ series mixes hockey and queer romance and is scoring big audiences,https://apnews.com/article/heated-rivalry-hockey-romance-801f41aec6cc476a12fe1a670ea68a22
Associated Press,10,New York Knicks star Karl-Anthony Towns and influencer Jordyn Woods are engaged,https://apnews.com/article/jordyn-woods-karlanthony-towns-engaged-b156a871912f3f972bd43f1fff16bd9b
Associated Press,11,"Perry Bamonte, guitarist and keyboardist for The Cure, dies at 65",https://apnews.com/article/cure-perry-bamonte-0419ce78916b8ced3902f11fcdf02c64
Associated Press,12,"Trump overturned decades of US trade policy in 2025. See the impact of his tariffs, in four charts",https://apnews.com/article/trump-tariffs-economy-liberation-day-d3458da225c1fdfade97ed494b23e868
Associated Press,13,Stocks dip slightly as investors return from Christmas holiday in light trading,https://apnews.com/article/stocks-markets-japan-gold-trump-b7cbbbf8f21baa5079888124a13703e8
Associated Press,14,Trump launched global tariff wars in 2025. Here's a recap of his trade actions this year,https://apnews.com/article/trump-tariffs-timeline-economy-2b10860dfdb2a5d9c3c4527136314992
Associated Press,15,Raccoon goes on drunken rampage in Virginia liquor store and passes out on bathroom floor,https://apnews.com/article/drunk-raccoon-liquor-store-bandit-virginia-5109feb2ea9ab9bf8954ec3798689fd0
Associated Press,16,Baltimore cyclist finds joy in collecting lost hubcaps and stringing them into art,https://apnews.com/article/hubcap-artist-bicyclist-joy-wonder-4d1d40064d3853153d931f1a25526d84
Associated Press,17,A humpback whale briefly swallows kayaker in Chilean Patagonia — and it's all captured on camera,https://apnews.com/article/chile-kayaking-tourism-whale-b0cafde4b640326f20a9da28003d6c26
Associated Press,18,Southern California man gets an unwanted housemate: A black bear in his crawl space,https://apnews.com/article/california-bear-altadena-under-house-1dadcf4b0d16a6860b36c1d71a36759b
Associated Press,19,An elephant family smashed pumpkins at the Oregon Zoo. But this baby just wanted to play ball,https://apnews.com/article/elephant-pumpkin-smash-video-portland-oregon-zoo-1e942f8379ee099847254c6811ba0c29
Associated Press,20,Mysterious googly eyes go viral after appearing on public art in Oregon,https://apnews.com/article/googly-eyes-public-art-sculptures-bend-oregon-2f4fce84569e3b599106199f3b6d66e3
