site,rank,title,link
Al Jazeera,1,Trump formally orders lifting of Syria sanctions,https://www.aljazeera.com/news/2025/6/30/trump-formally-orders-lifting-of-syria-sanctions?traffic_source=rss
Al Jazeera,2,"Obama, Bush decry ‘travesty’ of Trump’s gutting of USAID on its last day",https://www.aljazeera.com/news/2025/6/30/obama-bush-decry-travesty-of-trumps-gutting-of-usaid-on-its-last-day?traffic_source=rss
Al Jazeera,3,Fluminense into Club World Cup quarterfinals after stunning Inter Milan 2-0,https://www.aljazeera.com/sports/2025/6/30/fluminense-into-club-world-cup-quarterfinals-after-stunning-inter-milan-2-0?traffic_source=rss
Al Jazeera,4,Tunisia court sentences lawyer critical of president to two years in prison,https://www.aljazeera.com/news/2025/6/30/tunisia-court-sentences-lawyer-critical-of-president-to-two-years-in-prison?traffic_source=rss
Al Jazeera,5,Pro-Palestine protesters at Wimbledon over Barclays sponsorship,https://www.aljazeera.com/video/newsfeed/2025/6/30/pro-palestine-protesters-at-wimbledon-over-barclays-sponsorship?traffic_source=rss
Al Jazeera,6,Who will feed Sudanese refugees?,https://www.aljazeera.com/video/inside-story/2025/6/30/who-will-feed-sudanese-refugees?traffic_source=rss
Al Jazeera,7,Mamdani’s New York victory sparks Islamophobic backlash in US,https://www.aljazeera.com/news/2025/6/30/mamdanis-new-york-victory-sparks-islamophobic-backlash-in-us?traffic_source=rss
Al Jazeera,8,Israeli settlers attack Israeli soldiers in occupied West Bank,https://www.aljazeera.com/video/newsfeed/2025/6/30/israeli-settlers-attack-israeli-soldiers-in-occupied-west-bank?traffic_source=rss
Al Jazeera,9,"Mexican authorities find 20 bodies, some decapitated, in Sinaloa state",https://www.aljazeera.com/news/2025/6/30/mexican-authorities-find-20-bodies-some-decapitated-in-sinaloa-state?traffic_source=rss
Al Jazeera,10,Dutch memorial honours Palestinian children killed in Gaza,https://www.aljazeera.com/video/newsfeed/2025/6/30/dutch-memorial-honours-palestinian-children-killed-in-gaza?traffic_source=rss
Al Jazeera,11,How can Iranians rebuild while crackdowns intensify?,https://www.aljazeera.com/video/the-take-2/2025/6/30/aje-onl-irn_afterceasefire_av_v2-300625?traffic_source=rss
Al Jazeera,12,UK police say pro-Palestine performances at Glastonbury subject to probe,https://www.aljazeera.com/news/2025/6/30/uk-police-say-pro-palestine-performances-at-glastonbury-subject-to-probe?traffic_source=rss
Al Jazeera,13,Iran hardens stance against IAEA and its chief in wake of US-Israel attacks,https://www.aljazeera.com/news/2025/6/30/iran-hardens-stance-against-iaea-and-its-chief-in-wake-of-us-israel-attacks?traffic_source=rss
Al Jazeera,14,How generative AI is affecting people’s minds,https://www.aljazeera.com/economy/2025/6/30/how-generative-ai-is-affecting-peoples-minds?traffic_source=rss
Al Jazeera,15,‘Coming back with nothing’: Inside the reverse migration away from the US,https://www.aljazeera.com/news/longform/2025/6/30/coming-back-with-nothing-inside-the-reverse-migration-away-from-the-us?traffic_source=rss
Al Jazeera,16,"Days of heavy Pakistan rains, floods kill 46, including 13 from one family",https://www.aljazeera.com/news/2025/6/30/days-of-heavy-pakistan-rains-floods-kill-46-including-13-from-one-family?traffic_source=rss
Al Jazeera,17,Why is Ukraine withdrawing from the Ottawa Treaty banning landmines?,https://www.aljazeera.com/news/2025/6/30/why-is-ukraine-withdrawing-from-the-ottawa-treaty-banning-landmines?traffic_source=rss
Al Jazeera,18,"Israel bombs Gaza cafe, school and aid hubs, killing 95 Palestinians",https://www.aljazeera.com/news/2025/6/30/israel-kills-85-palestinians-bombing-across-gaza-amid-new-ceasefire-push?traffic_source=rss
Al Jazeera,19,Wimbledon: Daniil Medvedev suffers shock first-round exit,https://www.aljazeera.com/sports/2025/6/30/wimbledon-daniil-medvedev-suffers-shock-first-round-exit?traffic_source=rss
Al Jazeera,20,China claims Canada’s order for Hikvision closure ‘damages’ trade relations,https://www.aljazeera.com/economy/2025/6/30/china-claims-canadas-order-for-hikvision-closure-damages-trade-relations?traffic_source=rss
